mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm
الرياض,شمال الرياض,حي الياسمين,4 شوارع,سكني,15.0,10550,3500
الخبر,,حي العليا,جنوب,سكني أو تجاري,100.0,8994,7500
الرياض,شمال الرياض,حي الياسمين,شرق,سكني,15.0,916,2900
الرياض,شمال الرياض,حي الورود,غرب,,20.0,910,2900
الرياض,شمال الرياض,حي الصحافة,جنوب غربي,سكني,14.0,648,3300
الرياض,جنوب الرياض,حي عريض,جنوب غربي,سكني,25.0,403,620
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20.0,900,3500
الرياض,شرق الرياض,حي قرطبة,شرق,سكني أو تجاري,37.0,3797,3000
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,20.0,1125,3150
حائل,,حي السويفلة,شمال,سكني,25.0,800,450
المدينة المنورة,,حي الجماوات,جنوب,سكني,20.0,379,2110
الرياض,شمال الرياض,حي السليمانية,جنوب,سكني,12.0,3000,2800
الرياض,غرب الرياض,حي ضاحية نمار,غرب,سكني,15.0,864,613
جدة,شمال جدة,حي الصوارى,غرب,,50.0,642,4205
الرياض,غرب الرياض,حي ظهرة لبن,شمال شرقي,سكني,40.0,1050,1900
الرياض,شرق الرياض,حي المونسية,شرق,تجاري,36.0,900,2900
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,28.0,19000,3900
الخبر,,حي اللؤلؤ,غرب,سكني أو تجاري,60.0,1200,1000
الخبر,,حي الصواري,3 شوارع,سكني,30.0,1072,1200
جازان,,حي الشاطئ,شرق,,20.0,700,1000
الرياض,شرق الرياض,حي الشرق,جنوب شرقي,سكني,25.0,2468,114
الرياض,شمال الرياض,حي الصحافة,شرق,سكني,20.0,870,3450
جدة,شمال جدة,حي المرجان,غرب,سكني,30.0,2250,3500
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25.0,3500,5000
الرياض,شمال الرياض,حي العارض,3 شوارع,سكني أو تجاري,80.0,45840,1000
الرياض,شمال الرياض,حي الصحافة,شمال شرقي,سكني,15.0,1581,3000
الرياض,شمال الرياض,حي بنبان,جنوب,,15.0,1500,750
الرس,,حي السعادة,شرق,سكني أو تجاري,30.0,514,389
الرياض,جنوب الرياض,حي عريض,شرق,سكني,15.0,1296,578
جدة,شمال جدة,حي الصوارى,جنوب,,30.0,377,1550
الدمام,,حي البادية,شمال شرقي,سكني,20.0,645,1240
الرياض,شمال الرياض,حي النرجس,4 شوارع,سكني أو تجاري,36.0,10000,1700
الخبر,,حي الحمرا,شرق,سكني,60.0,4900,2850
المدينة المنورة,,حي المصانع,شرق,سكني أو تجاري,60.0,19800,10000
الدمام,,حي الصدفة,شرق,سكني,45.0,700,2000
الرياض,شمال الرياض,حي الياسمين,جنوب شرقي,سكني,20.0,1456,3800
الرياض,شمال الرياض,حي المروج,شرق,سكني,16.0,1020,3000
الرياض,وسط الرياض,حي الربوة,شمال غربي,سكني,20.0,2220,3000
الرياض,وسط الرياض,حي المربع,شمال شرقي,سكني أو تجاري,30.0,1277,2600
الهفوف,,حي جنوب الهفوف,غرب,سكني,15.0,786,508
الرياض,شمال الرياض,حي المرسلات,جنوب غربي,سكني,12.0,540,2700
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15.0,1200,2500
الرياض,شرق الرياض,حي الروابي,3 شوارع,سكني,12.0,925,2600
الرياض,شرق الرياض,حي المونسية,جنوب,تجاري,100.0,1760,4000
الرياض,شرق الرياض,حي الروابي,شرق,سكني,15.0,945,2500
الرياض,شرق الرياض,حي الخليج,غرب,تجاري,40.0,945,2300
الرياض,شمال الرياض,حي الصحافة,3 شوارع,تجاري,20.0,1620,8800
جدة,شمال جدة,حي الزمرد,شمال,سكني,20.0,312,1730
الدمام,,حي الشعلة,غرب,تجاري,60.0,1021,3000
جدة,شمال جدة,حي ابحر الشمالية,شرق,تجاري,52.0,750,4933
الخبر,,حي الرجاء,غرب,سكني,20.0,839,774
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,15.0,528,3200
جدة,شمال جدة,حي الرياض,شرق,تجاري,30.0,620,677
الرياض,غرب الرياض,حي الهدا,جنوب شرقي,سكني,20.0,3046,2550
الرياض,شمال الرياض,حي الملقا,3 شوارع,,20.0,975,3700
الدرعية,,حي الخالدية,غرب,سكني,25.0,1477,3500
الرياض,شمال الرياض,حي الياسمين,شمال غربي,سكني,15.0,840,3350
الدرعية,,حي الخالدية,غرب,سكني,15.0,375,3000
الرياض,شمال الرياض,حي الملقا,غرب,سكني,15.0,975,3800
الرياض,شمال الرياض,حي النخيل,شرق,سكني,25.0,1125,3500
الرياض,شمال الرياض,حي الملقا,شرق,سكني,15.0,900,3400
الرياض,شمال الرياض,حي النزهة,3 شوارع,تجاري,60.0,1462,5500
الدمام,,حي الجوهرة,شرق,سكني,15.0,583,2450
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20.0,1500,3000
الرياض,شمال الرياض,حي الملقا,جنوب غربي,تجاري,60.0,1200,6666
الرياض,شمال الرياض,حي العقيق,جنوب,سكني,20.0,625,3120
جدة,شمال جدة,حي الياقوت,3 شوارع,سكني,15.0,840,2000
الخبر,,حي العقيق,شمال,سكني,20.0,735,816
الرياض,شرق الرياض,حي قرطبة,3 شوارع,سكني,20.0,7350,2800
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15.0,750,4200
جازان,,حي الشاطئ,شمال شرقي,,25.0,692,1083
الرياض,شمال الرياض,حي المروج,شرق,سكني,15.0,690,3100
الزلفي,,حي حطين,شرق,سكني,20.0,629,143
الرياض,شرق الرياض,حي الشرق,شمال,سكني,20.0,393,1400
الخبر,,حي العقيق,جنوب,سكني,40.0,600,800
جدة,شمال جدة,حي الشراع,غرب,سكني,16.0,870,2126
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20.0,900,2800
الرياض,شمال الرياض,حي الملقا,4 شوارع,تجاري,60.0,7400,7500
الرياض,شرق الرياض,حي قرطبة,جنوب شرقي,سكني,28.0,930,2900
الرياض,شمال الرياض,حي حطين,شمال غربي,سكني,15.0,810,4500
الرياض,شرق الرياض,حي النسيم الغربي,4 شوارع,سكني أو تجاري,30.0,8100,1500
الرياض,شرق الرياض,حي الشرق,شرق,,25.0,1980,1500
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15.0,520,3100
الرياض,غرب الرياض,حي ظهرة لبن,جنوب,سكني,30.0,750,1450
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,15.0,448,1600
الرياض,غرب الرياض,حي ظهرة لبن,جنوب غربي,,40.0,1275,1300
الرياض,شمال الرياض,حي الياسمين,جنوب غربي,سكني,15.0,1370,3300
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني أو تجاري,20.0,744,3000
الدرعية,,حي الخالدية,شمال,سكني,20.0,1800,3100
الرياض,غرب الرياض,حي المهدية,جنوب,,20.0,1120,1800
الرياض,شمال الرياض,حي العقيق,3 شوارع,سكني,20.0,1150,3500
الخبر,,حي البحيرة,شمال غربي,سكني,20.0,600,1200
الدرعية,,حي الخالدية,جنوب,سكني,25.0,851,3050
الخبر,,حي الجسر,غرب,سكني,15.0,500,1300
الرياض,شمال الرياض,حي القيروان,جنوب شرقي,سكني,25.0,624,2800
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,20.0,6000,750
رابغ,,حي الصبوح,جنوب,سكني,15.0,896,167
الزلفي,,حي مرخ,شمال غربي,سكني,20.0,625,160
الرياض,شمال الرياض,حي الغدير,شمال شرقي,سكني,20.0,2290,4000
المجمعة,,حي المروج,غرب,سكني,40.0,950,631
الخبر,,حي اشبيليا,غرب,تجاري,60.0,1500,3500
الخبر,,حي الخزامى,شمال,سكني,100.0,1018,2455
جدة,شمال جدة,حي الزمرد,شمال,تجاري,32.0,600,2500
الرياض,شرق الرياض,حي المونسية,شرق,,15.0,2130,2650
الرياض,غرب الرياض,حي ضاحية نمار,شرق,سكني,20.0,552,653
الرياض,شمال الرياض,حي الملك عبدالله,غرب,سكني أو تجاري,30.0,6500,4500
الرياض,شمال الرياض,حي الملقا,شرق,سكني,60.0,900,7000
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني,15.0,600,2850
الرياض,شرق الرياض,حي المونسية,جنوب غربي,سكني,18.0,336,2900
الخبر,,حي العقيق,جنوب شرقي,سكني,20.0,1260,950
الرياض,غرب الرياض,حي ظهرة لبن,شمال شرقي,سكني أو تجاري,30.0,875,1830
جدة,شمال جدة,حي ابحر الشمالية,غرب,سكني,32.0,506,2600
رياض الخبراء,,حي الافراح,4 شوارع,سكني,20.0,4441,147
الرياض,شمال الرياض,حي المروج,شرق,سكني,15.0,1020,2800
الرياض,شمال الرياض,حي الملقا,شرق,سكني,28.0,4000,4200
الرياض,شمال الرياض,حي الملقا,شرق,سكني أو تجاري,36.0,2544,4400
الرياض,جنوب الرياض,حي عريض,جنوب,سكني,20.0,964,363
الرياض,شرق الرياض,حي المونسية,غرب,سكني,15.0,385,1550
جدة,شمال جدة,حي الصوارى,3 شوارع,سكني,32.0,1160,1550
الرياض,شرق الرياض,حي الفيحاء,شمال,تجاري,30.0,10100,550
الرياض,شرق الرياض,حي اليرموك,شرق,سكني أو تجاري,30.0,900,2600
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني,28.0,14300,4550
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,20.0,1125,3100
الخبر,,حي التحلية,شمال شرقي,سكني,15.0,600,1500
الخبر,,حي التحلية,جنوب شرقي,سكني,15.0,500,1500
الرياض,شرق الرياض,حي الرمال,4 شوارع,سكني,25.0,27500,1400
الرياض,شرق الرياض,حي الرمال,شمال شرقي,سكني,20.0,375,1850
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني,100.0,9997,3500
الرياض,شمال الرياض,حي الربيع,جنوب شرقي,سكني,12.0,1323,3400
الدرعية,,حي الخالدية,شمال,سكني,20.0,616,3350
الرياض,شمال الرياض,حي الفلاح,غرب,سكني أو تجاري,36.0,1200,4300
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15.0,765,4118
الخبر,,حي الامواج,شمال غربي,سكني,20.0,1147,1100
الخبر,,حي الرجاء,شرق,سكني,15.0,363,1005
الرياض,شرق الرياض,حي الشرق,جنوب,سكني,20.0,753,332
الدرعية,,حي الخالدية,شمال غربي,سكني,25.0,1800,3900
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني أو تجاري,36.0,21574,3700
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15.0,2917,3600
الرياض,شمال الرياض,حي بنبان,شمال,,20.0,405,765
الخبر,,حي التحلية,شمال غربي,سكني,20.0,467,1500
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20.0,900,4100
الرياض,غرب الرياض,حي المهدية,جنوب,,15.0,900,1333
الزلفي,,حي المنتزة,جنوب شرقي,,10.0,654,114
الرياض,غرب الرياض,حي المهدية,شمال,سكني,15.0,443,17000
الهفوف,,حي الواحة,شمال,سكني,15.0,1120,700
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15.0,900,3000
الخبر,,حي البحر,3 شوارع,سكني,25.0,12000,3000
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,25.0,978,4100
الرياض,شمال الرياض,حي الملقا,جنوب غربي,سكني,25.0,1530,4500
الرياض,شمال الرياض,حي الندى,4 شوارع,سكني,20.0,19620,3300
الرياض,شمال الرياض,حي العقيق,جنوب,سكني,20.0,625,3300
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15.0,523,4500
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,20.0,2100,4000
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,20.0,1012,3100
بريدة,,حي البصر,جنوب,سكني,15.0,625,208
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني أو تجاري,60.0,4724,3700
الرياض,شمال الرياض,حي الملقا,غرب,سكني,18.0,375,4000
الرياض,غرب الرياض,حي عرقة,شمال شرقي,سكني,12.0,990,1565
الرياض,شمال الرياض,حي بنبان,شمال غربي,سكني أو تجاري,30.0,5100,700
جازان,,حي السويس,جنوب,تجاري,30.0,400,875
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,18.0,494,3550
جدة,شمال جدة,حي النزهة,شرق,سكني,16.0,750,3200
جدة,شمال جدة,حي الفروسية,شمال,سكني,15.0,450,1000
جدة,شمال جدة,حي الزمرد,شمال,,15.0,625,1760
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20.0,890,3000
الرياض,وسط الرياض,حي الربوة,شمال,سكني,20.0,700,2300
الرياض,غرب الرياض,حي الخزامى,شمال,سكني,20.0,875,4300
جدة,شمال جدة,حي الروضة,شمال,سكني,15.0,750,4666
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,20.0,900,1450
الرياض,شمال الرياض,حي النفل,جنوب شرقي,تجاري,36.0,2444,4500
الرياض,جنوب الرياض,حي السلي,3 شوارع,سكني أو تجاري,35.0,1897,1300
الرياض,غرب الرياض,حي الخزامى,جنوب,سكني,30.0,1620,3800
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,20.0,750,2400
الرياض,شمال الرياض,حي الياسمين,جنوب غربي,,15.0,1380,3500
الرياض,شمال الرياض,حي المغرزات,شمال,سكني,15.0,1225,3000
الرياض,شمال الرياض,حي الصحافة,غرب,سكني,14.0,638,2750
الرياض,غرب الرياض,حي ضاحية نمار,جنوب غربي,,20.0,1136,700
الرياض,شرق الرياض,حي الخليج,3 شوارع,سكني,20.0,805,2400
جدة,شمال جدة,حي بني مالك,4 شوارع,سكني أو تجاري,30.0,9088,1900
الرياض,شمال الرياض,حي بنبان,4 شوارع,سكني أو تجاري,36.0,67000,168
الرياض,شمال الرياض,حي القيروان,3 شوارع,سكني أو تجاري,80.0,595998,1000
الرياض,شمال الرياض,حي بنبان,جنوب شرقي,,25.0,750,650
الرياض,شمال الرياض,حي بنبان,شرق,,15.0,1500,750
الرياض,شرق الرياض,حي المونسية,شمال شرقي,سكني أو تجاري,30.0,900,2400
المزاحمية,,حي الغطغط,شمال غربي,سكني أو تجاري,50.0,11263,67
الرياض,شمال الرياض,حي المغرزات,غرب,سكني,20.0,600,3250
الرياض,شمال الرياض,حي الصحافة,شمال شرقي,سكني,5.0,806,3000
الرياض,شمال الرياض,حي القيروان,شمال شرقي,,20.0,827,3100
مكة المكرمة,,حي الملك فهد,غرب,سكني أو تجاري,30.0,600,1250
الرياض,شمال الرياض,حي العارض,شرق,سكني,15.0,355,2350
احد رفيده,,حي الزهور,3 شوارع,سكني,20.0,900,244
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,15.0,375,1500
الرياض,غرب الرياض,حي ظهرة نمار,شمال,سكني,15.0,2700,1300
الرياض,شرق الرياض,حي المعيزلة,جنوب,تجاري,40.0,1500,1900
الرياض,شمال الرياض,حي صلاح الدين,شمال,غير محدد,15.0,405,2950
الرياض,شمال الرياض,حي الملقا,شرق,سكني,25.0,700,4000
الرياض,غرب الرياض,حي المهدية,جنوب شرقي,سكني,20.0,900,1444
الرياض,شرق الرياض,حي الاندلس,شمال,,15.0,312,3200
الرياض,شمال الرياض,حي الصحافة,غرب,سكني,15.0,435,3500
الرياض,شمال الرياض,حي بنبان,شرق,,20.0,534,1011
الرياض,شمال الرياض,حي الياسمين,جنوب غربي,سكني,18.0,1380,3800
الرياض,شرق الرياض,حي المونسية,شمال,تجاري,37.0,2700,2150
الخبر,,حي الامواج,شمال شرقي,سكني,20.0,1000,1050
الرياض,شرق الرياض,حي الشهداء,3 شوارع,سكني,20.0,1250,3200
الرياض,شمال الرياض,حي المروج,شمال,تجاري,30.0,575,4600
الرياض,غرب الرياض,حي ظهرة لبن,غرب,,20.0,345,2086
الخبر,,حي الرجاء,جنوب,سكني,40.0,1408,604
الرياض,شرق الرياض,حي الجزيرة,شرق,سكني,24.0,731,2600
الرياض,شرق الرياض,حي الروضة,شمال,سكني,15.0,306,2850
الرياض,شرق الرياض,حي الخليج,جنوب شرقي,سكني,20.0,750,1800
الرياض,غرب الرياض,حي ظهرة لبن,غرب,سكني,20.0,256,1953
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,15.0,600,2900
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني أو تجاري,30.0,6632,3900
المدينة المنورة,,حي خاخ,شرق,,25.0,820,182
الخبر,,حي اللؤلؤ,شرق,سكني,20.0,375,1000
الرياض,غرب الرياض,حي ظهرة لبن,شرق,سكني,20.0,400,1500
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18.0,832,4700
الرياض,غرب الرياض,حي عرقة,غرب,سكني,15.0,625,3000
الرياض,شرق الرياض,حي السعادة,3 شوارع,تجاري,60.0,3300,1800
الرياض,شمال الرياض,حي الوادي,غرب,سكني,15.0,1200,2833
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15.0,594,4100
الرياض,شمال الرياض,حي الياسمين,شمال غربي,سكني,15.0,420,3500
الخبر,,حي الكوثر,جنوب,سكني,20.0,950,726
الرياض,شمال الرياض,حي الملقا,شرق,سكني أو تجاري,30.0,2544,4100
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,15.0,538,3300
الرياض,شمال الرياض,حي العقيق,3 شوارع,سكني,15.0,2250,3400
الرياض,شمال الرياض,حي الوادي,شمال,سكني,15.0,1856,3000
الرياض,شمال الرياض,حي النخيل,3 شوارع,سكني,31.0,2700,4800
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني أو تجاري,20.0,6632,4000
الرياض,شمال الرياض,حي المروج,غرب,سكني,15.0,875,2500
الرياض,شمال الرياض,حي الملقا,شرق,سكني,20.0,437,3400
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15.0,368,3300
جدة,شمال جدة,حي الصوارى,جنوب غربي,سكني,15.0,750,1600
جدة,شمال جدة,حي الياقوت,جنوب,سكني,16.0,675,1303
الرياض,شمال الرياض,حي الملقا,جنوب,,20.0,800,4500
الرياض,شمال الرياض,حي الصحافة,جنوب,تجاري,60.0,900,6100
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,15.0,750,666
الرياض,غرب الرياض,حي عرقة,شمال,سكني,20.0,1200,3500
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15.0,348,4300
الرياض,شمال الرياض,حي حطين,شرق,سكني,15.0,462,3800
الرياض,غرب الرياض,حي الزهرة,شرق,سكني,20.0,720,3400
الرياض,غرب الرياض,حي المهدية,شمال,تجاري,35.0,400,1450
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20.0,2100,3500
بريدة,,حي الجامعيين,شرق,سكني,15.0,533,300
الرياض,شمال الرياض,حي العارض,3 شوارع,سكني,20.0,1300,2700
الخبر,,حي اللؤلؤ,جنوب,سكني,20.0,338,1065
الرياض,جنوب الرياض,حي الشفا,4 شوارع,سكني,16.0,17820,1200
الرياض,شمال الرياض,حي العارض,4 شوارع,سكني أو تجاري,100.0,12250,8000
الرياض,شمال الرياض,حي القيروان,3 شوارع,سكني,15.0,1200,3000
الرياض,غرب الرياض,حي ضاحية نمار,3 شوارع,سكني أو تجاري,60.0,10200,600
الرياض,شرق الرياض,حي اليرموك,3 شوارع,سكني أو تجاري,13.0,1800,2100
الرياض,شرق الرياض,حي النهضة,غرب,سكني,14.0,375,2053
الخبر,,حي المرجان,شمال,سكني أو تجاري,40.0,1526,630
الرياض,غرب الرياض,حي نمار,شمال,سكني,15.0,1000,1300
المدينة المنورة,,حي النقس,شمال شرقي,,30.0,1178,700
المدينة المنورة,,حي العزيزية,شرق,سكني,20.0,1000,1500
الخبر,,حي الكوثر,شمال غربي,سكني,20.0,972,772
الرياض,شمال الرياض,حي العارض,جنوب شرقي,سكني,19.0,1263,2400
الرياض,شرق الرياض,حي الحمراء,جنوب,تجاري,36.0,1059,4000
الرياض,غرب الرياض,حي ضاحية نمار,جنوب,سكني,20.0,375,800
الرياض,غرب الرياض,حي ضاحية نمار,غرب,سكني,20.0,437,800
الرياض,غرب الرياض,حي ام الحمام الغربي,جنوب شرقي,سكني,15.0,1000,1700
الرياض,شمال الرياض,حي حطين,جنوب,سكني,30.0,700,6600
بريدة,,حي سلطانة,غرب,تجاري,10.0,682,900
الزلفي,,حي حطين,شمال,سكني,30.0,625,160
الرياض,شمال الرياض,حي النرجس,شمال,تجاري,36.0,1095,2500
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,15.0,442,1244
ثادق,,حي الجنادرية,جنوب,سكني,15.0,860,600
الرياض,شرق الرياض,حي النسيم الشرقي,شرق,تجاري,40.0,1000,2200
الرياض,شمال الرياض,حي الملك عبدالله,4 شوارع,سكني أو تجاري,30.0,11000,3000
النبهانية,,حي النبهانية,شرق,سكني أو تجاري,30.0,2375,42
المدينة المنورة,,حي المطار,شرق,سكني,15.0,500,600
الرياض,شرق الرياض,حي الشرق,شمال,,15.0,750,180
المزاحمية,,حي الغطغط,شمال غربي,سكني,13.0,816,117
الخبر,,حي البحر,شرق,سكني,40.0,2712,2100
الرياض,غرب الرياض,حي المهدية,شرق,تجاري,40.0,625,1920
الرياض,غرب الرياض,حي الرفيعة,شمال,سكني,20.0,500,1800
الرياض,شمال الرياض,حي النخيل,جنوب,سكني,20.0,764,4400
الرياض,شرق الرياض,حي اشبيلية,جنوب,سكني أو تجاري,36.0,1500,2300
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15.0,463,4000
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15.0,400,4500
الرياض,غرب الرياض,حي ضاحية نمار,جنوب غربي,سكني,15.0,585,600
الرياض,غرب الرياض,حي المهدية,غرب,سكني,15.0,900,1200
جدة,شمال جدة,حي الشراع,جنوب,سكني,25.0,900,2000
الرياض,شرق الرياض,حي قرطبة,4 شوارع,سكني أو تجاري,100.0,5155,3200
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني أو تجاري,60.0,39000,5000
الرياض,شمال الرياض,حي بنبان,شرق,سكني,20.0,750,666
الرياض,شمال الرياض,حي الوادي,غرب,سكني,15.0,1200,2700
الخبر,,حي الصواري,شمال,سكني,15.0,894,950
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18.0,839,4900
المدينة المنورة,,حي الفتح,شمال شرقي,تجاري,20.0,1050,8571
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,15.0,526,1250
الرياض,شرق الرياض,حي المونسية,4 شوارع,سكني,20.0,6000,2450
الرياض,غرب الرياض,حي المهدية,شمال,سكني,15.0,557,1257
تبوك,,حي بترومين,شمال,سكني,15.0,1050,450
الرياض,شمال الرياض,حي بنبان,جنوب غربي,سكني,20.0,750,700
الرياض,شمال الرياض,حي بنبان,غرب,,20.0,1024,781
الرياض,شرق الرياض,حي المونسية,شمال,سكني,18.0,336,2700
صفوى,,حي ابو معن,شمال,تجاري,50.0,2000,75
الرياض,شمال الرياض,حي بنبان,شرق,,15.0,756,595
الرياض,شرق الرياض,حي اليرموك,شرق,سكني,20.0,373,2400
الرياض,غرب الرياض,حي الخزامى,3 شوارع,سكني,20.0,6650,4150
الرياض,غرب الرياض,حي الهدا,جنوب شرقي,,20.0,3046,2300
الرياض,شمال الرياض,حي الملقا,شرق,سكني,15.0,900,3500
الدمام,,حي العنود,غرب,سكني أو تجاري,30.0,1000,3000
الرياض,شمال الرياض,حي الصحافة,جنوب,سكني,15.0,810,3200
الرياض,جنوب الرياض,حي الشفا,شرق,تجاري,25.0,875,3000
الرياض,جنوب الرياض,حي عكاظ,4 شوارع,سكني,15.0,312,1300
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,20.0,725,3600
الرياض,شرق الرياض,حي المعيزلة,جنوب,سكني,12.0,525,1400
الرياض,شمال الرياض,حي الوادي,غرب,سكني,15.0,1200,2916
الرياض,شمال الرياض,حي الياسمين,شرق,,19.0,350,3500
الرياض,شمال الرياض,حي الوادي,غرب,سكني,15.0,1200,2500
الخبر,,حي البحيرة,جنوب,سكني,15.0,556,1200
الرياض,جنوب الرياض,حي بدر,جنوب,سكني,15.0,10000,850
الرياض,شمال الرياض,حي القيروان,جنوب,سكني,15.0,367,3000
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15.0,350,2300
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني أو تجاري,60.0,2400,5000
الرياض,شرق الرياض,حي اليرموك,3 شوارع,سكني أو تجاري,30.0,1800,2300
جدة,شمال جدة,حي الرياض,جنوب غربي,سكني,15.0,863,336
الرياض,شمال الرياض,حي الفلاح,جنوب,سكني,20.0,832,4000
الرياض,شرق الرياض,حي المونسية,جنوب,سكني,18.0,375,2300
الرياض,غرب الرياض,حي المهدية,شمال,,15.0,515,2000
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني أو تجاري,40.0,3840,4600
الرياض,شرق الرياض,حي القادسية,جنوب غربي,تجاري,30.0,625,2000
الرياض,غرب الرياض,حي عرقة,3 شوارع,تجاري,40.0,4088,3500
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني,25.0,16984,3500
الدمام,,حي الصدفة,جنوب,سكني,15.0,700,1700
جدة,شمال جدة,حي الزمرد,شمال غربي,سكني,16.0,625,1600
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15.0,1800,3000
الخبر,,حي العقيق,شرق,سكني,20.0,500,740
الخرج,,حي الراشدية,شمال,سكني,15.0,690,289
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25.0,1620,3500
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15.0,900,3500
الرياض,وسط الرياض,حي النموذجية,3 شوارع,سكني,20.0,1680,2000
الرياض,شمال الرياض,حي الملقا,شمال,,20.0,687,4200
بريدة,,حي الرحاب,جنوب,سكني,15.0,1000,260
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15.0,375,2200
الرياض,جنوب الرياض,حي عكاظ,شمال غربي,,20.0,378,1350
الرياض,غرب الرياض,حي المهدية,شمال غربي,,20.0,900,1444
الرياض,شمال الرياض,حي النرجس,3 شوارع,تجاري,30.0,1650,3000
الرياض,شمال الرياض,حي القيروان,غرب,,20.0,390,3600
الرياض,شرق الرياض,حي القادسية,شمال,سكني,15.0,772,2000
الرياض,شمال الرياض,حي حطين,3 شوارع,سكني,30.0,17000,5500
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15.0,2700,3000
الخبر,,حي الحمرا,شرق,سكني,20.0,750,2000
الرياض,شرق الرياض,حي اشبيلية,4 شوارع,سكني أو تجاري,36.0,4080,2200
الرياض,شمال الرياض,حي القيروان,غرب,سكني,15.0,450,2550
المدينة المنورة,,حي شوران,جنوب,تجاري,25.0,1000,1100
الخبر,,حي الشراع,جنوب غربي,تجاري,60.0,1236,2427
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15.0,1050,2100
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني أو تجاري,36.0,2291,2600
الرياض,شمال الرياض,حي الفلاح,جنوب,سكني,15.0,800,3500
الخبر,,حي اللؤلؤ,شرق,سكني,30.0,643,777
الخبر,,حي الحمرا,3 شوارع,سكني,40.0,3500,3000
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني,20.0,600,2800
الدرعية,,حي الدرعية الجديدة,جنوب,,20.0,12000,140
الرياض,شرق الرياض,حي غرناطة,3 شوارع,سكني,20.0,1976,2783
الرياض,شمال الرياض,حي القيروان,3 شوارع,سكني أو تجاري,30.0,2044,3200
الرياض,غرب الرياض,حي المهدية,شمال,سكني,25.0,542,1051
جازان,,حي الصفا,شمال شرقي,سكني أو تجاري,20.0,618,800
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25.0,1930,4000
الخبر,,حي الجسر,غرب,سكني,25.0,500,1360
